Codigo	Latitude	Longitude	Tipo
73003	-0.5333	-73.0167	2
74000	-0.1	-74.6167	2
74001	-0.0667	-74.6667	2
74002	-0.1833	-74.2833	2
74003	-0.3333	-74.0333	2
74004	-0.2	-74.7667	2
74005	-0.5833	-74.3667	2
74006	-0.3167	-74.7667	2
75000	-0.75	-75.5333	2
75001	-0.9667	-75.2	2
75002	-0.9167	-75.4167	2
75003	-0.0117	-75.8667	2
75004	-0.75	-75.5333	2
75005	-0.1167	-75.25	2
76000	-0.4167	-76.45	2
76001	-0.4667	-76.9833	2
76002	-0.1167	-76.3333	2
76003	-0.1167	-76.95	2
76004	-0.4167	-76.0833	2
76005	-0.05	-76.6167	2
76006	-0.4653	-76.9081	2
77000	-0.25	-77	2
77002	-0.9833	-77.8167	2
77003	-0.9167	-77.8	2
77004	-0.0833	-77.5667	2
77005	-0.3333	-77.7667	2
77006	-0.8667	-77.7667	2
77008	-0.3667	-77.85	2
77009	-0.1167	-77.6	2
77010	-0.6167	-77.8667	2
77011	-0.6167	-77.8833	2
77012	-0.0667	-77.2833	2
77013	-0.15	-77.7167	2
77014	-0.3333	-77.9667	2
77015	-0.4167	-77.8333	2
77016	-0.3833	-77.8333	2
77017	-0.6	-77.6167	2
77018	-0.7	-77.8167	2
77019	-0.2	-77.7	2
77020	-0.105	-77.9603	2
77021	-0.6611	-77.5994	2
77022	-0.3333	-77.5	2
77023	-0.1669	-77.5	2
77024	-0.9333	-77.35	2
77025	-0.0386	-77.3339	2
78001	-0.3625	-78.5531	2
78002	-0.7	-78.55	2
78003	-0.3667	-78.55	2
78004	-0.9167	-78.6167	2
78005	-0.2	-78.5	2
78006	-0.15	-78.4833	2
78007	-0.0833	-78.05	2
78008	-0.35	-78.1333	2
78009	-0.6403	-78.4958	2
78010	-0.7764	-78.5722	2
78011	-0.9533	-78.7078	2
78012	-0.8206	-78.6403	2
78013	-0.725	-78.6325	2
78014	-0.8833	-78.6667	2
78015	-0.75	-78.6833	2
78016	-0.8378	-78.6644	2
78017	-0.365	-78.1447	2
78018	-0.8378	-78.2789	2
79001	-0.9792	-79.6244	2
79002	-0.25	-79.2	2
79003	-0.6639	-79.3847	2
80001	-0.5833	-80.4	2
80002	-0.95	-80.7	2
89001	-0.9	-89.6	2
144000	-1.8333	-44.8833	2
144001	-1.3	-44.8833	2
144002	-1.8261	-44.8678	2
145000	-1.4667	-45.7167	2
145001	-1.4	-45.7833	2
145002	-1.3	-45.8667	2
145003	-1.85	-45.0667	2
145004	-1.6678	-45.3683	2
145005	-1.6667	-45.3667	2
145006	-1.4558	-45.7281	2
145007	-1.5397	-45.0797	2
145008	-1.7303	-45.1448	2
146000	-1.0636	-46.8653	2
146001	-1.05	-46.7833	2
146002	-1.25	-46.8667	2
146003	-1.6	-46.2	2
146004	-1.2167	-46.0167	2
146005	-1.7331	-46.5989	2
146006	-1.8	-46.2667	2
146007	-1.0453	-46.7828	2
146008	-1.8175	-46.3439	2
146009	-1.2314	-46.1878	2
146010	-1.2917	-46.5836	2
146011	-1.5161	-46.9061	2
146012	-1.7989	-46.6967	2
146013	-1.2728	-46.8894	2
146014	-1.7887	-46.3082	2
147000	-1.55	-47.1167	2
147001	-1.3667	-47.8833	2
147002	-1.2036	-47.1781	2
147003	-1.2167	-47.3333	2
147004	-1.35	-47.9667	2
147005	-1.3167	-47.6167	2
147006	-1.5667	-47.1	2
147007	-1.2975	-47.9394	2
147008	-1.6775	-47.77	2
147009	-1.75	-47.0833	2
147010	-1.1325	-47.6283	2
147011	-1.655	-47.4914	2
147012	-1.2833	-47.9167	2
147013	-1.7667	-47.0667	2
147014	-1.2833	-47.9167	2
147015	-1.7667	-47.0667	2
